CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000003004CCPF;01/09/2022;1;0,142;R
ES0000000000003004CCPF;01/09/2022;2;0,149;R
ES0000000000003004CCPF;01/09/2022;3;0,119;R
ES0000000000003004CCPF;01/09/2022;4;0,11;R
ES0000000000003004CCPF;01/09/2022;5;0,091;R
ES0000000000003004CCPF;01/09/2022;6;0,093;R
ES0000000000003004CCPF;01/09/2022;7;0,078;R
ES0000000000003004CCPF;01/09/2022;8;0,075;R
ES0000000000003004CCPF;01/09/2022;9;0,075;R
ES0000000000003004CCPF;01/09/2022;10;0,104;R
ES0000000000003004CCPF;01/09/2022;11;0,079;R
ES0000000000003004CCPF;01/09/2022;12;0,084;R
ES0000000000003004CCPF;01/09/2022;13;0,07;R
ES0000000000003004CCPF;01/09/2022;14;0,067;R
ES0000000000003004CCPF;01/09/2022;15;0,067;R
ES0000000000003004CCPF;01/09/2022;16;0,08;R
ES0000000000003004CCPF;01/09/2022;17;0,096;R
ES0000000000003004CCPF;01/09/2022;18;0,103;R
ES0000000000003004CCPF;01/09/2022;19;0,174;R
ES0000000000003004CCPF;01/09/2022;20;0,146;R
ES0000000000003004CCPF;01/09/2022;21;0,136;R
ES0000000000003004CCPF;01/09/2022;22;0,132;R
ES0000000000003004CCPF;01/09/2022;23;0,135;R
ES0000000000003004CCPF;02/09/2022;0;0,235;R
ES0000000000003004CCPF;02/09/2022;1;0,132;R
ES0000000000003004CCPF;02/09/2022;2;0,132;R
ES0000000000003004CCPF;02/09/2022;3;0,091;R
ES0000000000003004CCPF;02/09/2022;4;0,092;R
ES0000000000003004CCPF;02/09/2022;5;0,075;R
ES0000000000003004CCPF;02/09/2022;6;0,07;R
ES0000000000003004CCPF;02/09/2022;7;0,096;R
ES0000000000003004CCPF;02/09/2022;8;0,071;R
ES0000000000003004CCPF;02/09/2022;9;0,157;R
ES0000000000003004CCPF;02/09/2022;10;0,046;R
ES0000000000003004CCPF;02/09/2022;11;0,105;R
ES0000000000003004CCPF;02/09/2022;12;0,055;R
ES0000000000003004CCPF;02/09/2022;13;0,116;R
ES0000000000003004CCPF;02/09/2022;14;0,107;R
ES0000000000003004CCPF;02/09/2022;15;0,084;R
ES0000000000003004CCPF;02/09/2022;16;0,06;R
ES0000000000003004CCPF;02/09/2022;17;0,103;R
ES0000000000003004CCPF;02/09/2022;18;0,119;R
ES0000000000003004CCPF;02/09/2022;19;0,066;R
ES0000000000003004CCPF;02/09/2022;20;0,109;R
ES0000000000003004CCPF;02/09/2022;21;0,071;R
ES0000000000003004CCPF;02/09/2022;22;0,124;R
ES0000000000003004CCPF;02/09/2022;23;0,111;R
ES0000000000003004CCPF;03/09/2022;0;0,113;R
ES0000000000003004CCPF;03/09/2022;1;0,096;R
ES0000000000003004CCPF;03/09/2022;2;0,094;R
ES0000000000003004CCPF;03/09/2022;3;0,044;R
ES0000000000003004CCPF;03/09/2022;4;0,107;R
ES0000000000003004CCPF;03/09/2022;5;0,063;R
