CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0000000000006909CC;01/09/22;1;0,096;R
ES0000000000006909CC;01/09/22;2;0,035;R
ES0000000000006909CC;01/09/22;3;0,08;R
ES0000000000006909CC;01/09/22;4;0,068;R
ES0000000000006909CC;01/09/22;5;0,05;R
ES0000000000006909CC;01/09/22;6;0,102;R
ES0000000000006909CC;01/09/22;7;0,017;R
ES0000000000006909CC;01/09/22;8;0,101;R
ES0000000000006909CC;01/09/22;9;0,049;R
ES0000000000006909CC;01/09/22;10;0,064;R
ES0000000000006909CC;01/09/22;11;0,085;R
ES0000000000006909CC;01/09/22;12;0,026;R
ES0000000000006909CC;01/09/22;13;0,106;R
ES0000000000006909CC;01/09/22;14;0,035;R
ES0000000000006909CC;01/09/22;15;0,074;R
ES0000000000006909CC;01/09/22;16;0,072;R
ES0000000000006909CC;01/09/22;17;0,036;R
ES0000000000006909CC;01/09/22;18;0,106;R
ES0000000000006909CC;01/09/22;19;0,021;R
ES0000000000006909CC;01/09/22;20;0,089;R
ES0000000000006909CC;01/09/22;21;0,216;R
ES0000000000006909CC;01/09/22;22;1,425;R
ES0000000000006909CC;01/09/22;23;0,866;R
ES0000000000006909CC;02/09/22;0;0,234;R
ES0000000000006909CC;02/09/22;1;0,172;R
ES0000000000006909CC;02/09/22;2;0,156;R
ES0000000000006909CC;02/09/22;3;0,124;R
ES0000000000006909CC;02/09/22;4;0,117;R
ES0000000000006909CC;02/09/22;5;0,114;R
ES0000000000006909CC;02/09/22;6;0,143;R
ES0000000000006909CC;02/09/22;7;0,084;R
ES0000000000006909CC;02/09/22;8;0,05;R
ES0000000000006909CC;02/09/22;9;0,095;R
ES0000000000006909CC;02/09/22;10;0,264;R
ES0000000000006909CC;02/09/22;11;0,568;R
ES0000000000006909CC;02/09/22;12;0,475;R
ES0000000000006909CC;02/09/22;13;0,4;R
ES0000000000006909CC;02/09/22;14;0,055;R
ES0000000000006909CC;02/09/22;15;0,576;R
ES0000000000006909CC;02/09/22;16;0,144;R
