CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0022000006045346GJ1P;25/03/2019;1;0,086;R
ES0022000006045346GJ1P;25/03/2019;2;0,074;R
ES0022000006045346GJ1P;25/03/2019;3;0,086;R
ES0022000006045346GJ1P;25/03/2019;4;0,048;R
ES0022000006045346GJ1P;25/03/2019;5;0,089;R
ES0022000006045346GJ1P;25/03/2019;6;0,048;R
ES0022000006045346GJ1P;25/03/2019;7;0,061;R
ES0022000006045346GJ1P;25/03/2019;8;0,175;R
ES0022000006045346GJ1P;25/03/2019;9;0,405;R
ES0022000006045346GJ1P;25/03/2019;10;0,384;R
ES0022000006045346GJ1P;25/03/2019;11;0,044;R
ES0022000006045346GJ1P;25/03/2019;12;0,108;R
ES0022000006045346GJ1P;25/03/2019;13;0,045;R
ES0022000006045346GJ1P;25/03/2019;14;0,114;R
ES0022000006045346GJ1P;25/03/2019;15;0,326;R
ES0022000006045346GJ1P;25/03/2019;16;0,054;R
ES0022000006045346GJ1P;25/03/2019;17;0,103;R
ES0022000006045346GJ1P;25/03/2019;18;0,040;R
ES0022000006045346GJ1P;25/03/2019;19;0,079;R
ES0022000006045346GJ1P;25/03/2019;20;0,075;R
ES0022000006045346GJ1P;25/03/2019;21;0,498;R
ES0022000006045346GJ1P;25/03/2019;22;1,245;R
ES0022000006045346GJ1P;25/03/2019;23;0,245;R
ES0022000006045346GJ1P;25/03/2019;24;0,193;R
ES0022000006045346GJ1P;26/03/2019;1;0,104;R
ES0022000006045346GJ1P;26/03/2019;2;0,075;R
ES0022000006045346GJ1P;26/03/2019;3;0,044;R
ES0022000006045346GJ1P;26/03/2019;4;0,107;R
ES0022000006045346GJ1P;26/03/2019;5;0,046;R
ES0022000006045346GJ1P;26/03/2019;6;0,056;R
ES0022000006045346GJ1P;26/03/2019;7;0,074;R
ES0022000006045346GJ1P;26/03/2019;8;0,218;R
ES0022000006045346GJ1P;26/03/2019;9;0,210;R
ES0022000006045346GJ1P;26/03/2019;10;0,722;R
ES0022000006045346GJ1P;26/03/2019;11;0,133;R
ES0022000006045346GJ1P;26/03/2019;12;0,087;R
ES0022000006045346GJ1P;26/03/2019;13;0,091;R
ES0022000006045346GJ1P;26/03/2019;14;0,046;R
ES0022000006045346GJ1P;26/03/2019;15;0,090;R
ES0022000006045346GJ1P;26/03/2019;16;0,065;R
ES0022000006045346GJ1P;26/03/2019;17;0,166;R
ES0022000006045346GJ1P;26/03/2019;18;0,082;R
ES0022000006045346GJ1P;26/03/2019;19;0,208;R
