CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0022000008485886QT1P;10/02/2020;1;0,197;E
ES0022000008485886QT1P;10/02/2020;2;0,195;E
ES0022000008485886QT1P;10/02/2020;3;0,199;E
ES0022000008485886QT1P;10/02/2020;4;0,193;E
ES0022000008485886QT1P;10/02/2020;5;0,193;E
ES0022000008485886QT1P;10/02/2020;6;0,197;E
ES0022000008485886QT1P;10/02/2020;7;0,260;E
ES0022000008485886QT1P;10/02/2020;8;0,241;E
ES0022000008485886QT1P;10/02/2020;9;0,294;E
ES0022000008485886QT1P;10/02/2020;10;0,275;E
ES0022000008485886QT1P;10/02/2020;11;0,319;E
ES0022000008485886QT1P;10/02/2020;12;0,284;E
ES0022000008485886QT1P;10/02/2020;13;0,252;E
ES0022000008485886QT1P;10/02/2020;14;0,234;E
ES0022000008485886QT1P;10/02/2020;15;0,196;E
ES0022000008485886QT1P;10/02/2020;16;0,227;E
ES0022000008485886QT1P;10/02/2020;17;0,253;E
ES0022000008485886QT1P;10/02/2020;18;0,261;E
ES0022000008485886QT1P;10/02/2020;19;0,310;E
ES0022000008485886QT1P;10/02/2020;20;0,294;E
ES0022000008485886QT1P;10/02/2020;21;0,348;E
ES0022000008485886QT1P;10/02/2020;22;0,273;E
ES0022000008485886QT1P;10/02/2020;23;0,271;E
ES0022000008485886QT1P;10/02/2020;24;0,194;E
ES0022000008485886QT1P;11/02/2020;1;0,207;E
ES0022000008485886QT1P;11/02/2020;2;0,209;E
ES0022000008485886QT1P;11/02/2020;3;0,199;E
ES0022000008485886QT1P;11/02/2020;4;0,197;E
ES0022000008485886QT1P;11/02/2020;5;0,196;E
ES0022000008485886QT1P;11/02/2020;6;0,196;E
ES0022000008485886QT1P;11/02/2020;7;0,279;E
ES0022000008485886QT1P;11/02/2020;8;0,279;E
ES0022000008485886QT1P;11/02/2020;9;0,299;E
ES0022000008485886QT1P;11/02/2020;10;0,381;E
ES0022000008485886QT1P;11/02/2020;11;0,194;E
ES0022000008485886QT1P;11/02/2020;12;0,225;E
ES0022000008485886QT1P;11/02/2020;13;0,330;E
ES0022000008485886QT1P;11/02/2020;14;0,237;E
ES0022000008485886QT1P;11/02/2020;15;0,304;E
ES0022000008485886QT1P;11/02/2020;16;0,248;E
ES0022000008485886QT1P;11/02/2020;17;0,307;E
ES0022000008485886QT1P;11/02/2020;18;0,327;E
ES0022000008485886QT1P;11/02/2020;19;0,279;E
ES0022000008485886QT1P;11/02/2020;20;0,383;E
ES0022000008485886QT1P;11/02/2020;21;0,303;E
ES0022000008485886QT1P;11/02/2020;22;0,324;E
ES0022000008485886QT1P;11/02/2020;23;0,210;E
ES0022000008485886QT1P;11/02/2020;24;0,211;E
ES0022000008485886QT1P;12/02/2020;1;0,217;E
ES0022000008485886QT1P;12/02/2020;2;0,196;E
ES0022000008485886QT1P;12/02/2020;3;0,201;E
ES0022000008485886QT1P;12/02/2020;4;0,198;E
ES0022000008485886QT1P;12/02/2020;5;0,197;E
